Playlist Id,Channel Id,Time Created,Time Updated,Title,Description,Visibility
PLoNaDJzIwuAOdQlNxtv3kmtATgW5UyMGB,UCKNB3EYMKc2jiPE_19DhlYQ,2018-01-26 04:59:16 UTC,2022-05-24 04:05:33 UTC,Watch later,,Private

Video Id,Time Added
4dC_nRYIDZU,2021-10-31 03:04:58 UTC
xv6vbY4Hw48,2020-04-02 04:46:35 UTC
D4izvIGPsXQ,2020-03-17 05:01:28 UTC
D8TSCGoSsME,2020-01-10 03:00:51 UTC
r44RKWyfcFw,2019-10-04 05:31:12 UTC
IgGCmqFNIgo,2019-10-03 04:23:30 UTC
vtPkZShrvXQ,2019-09-04 03:43:48 UTC
NuyJ0pmEFjQ,2019-08-23 02:04:21 UTC
pWbMrx5rVBE,2019-08-09 21:58:35 UTC
kvGYl8SQBJ0,2019-07-29 04:58:20 UTC
W5tlGJwvmCQ,2019-07-28 05:16:02 UTC
25haxRuZQUk,2019-07-28 04:17:39 UTC
5urUZUWoTLo,2019-07-25 01:51:26 UTC
FSe_02FpJas,2019-07-19 03:08:17 UTC
OoA4017M7WU,2019-07-14 03:41:29 UTC
myydDX-us4o,2019-07-10 03:23:00 UTC
VwVg9jCtqaU,2019-07-10 02:38:38 UTC
oenzfF-yFeE,2019-07-06 04:56:21 UTC
kN1Czs0m1SU,2019-06-30 18:24:04 UTC
wI1CWzNtE-M,2019-06-29 22:37:50 UTC
3vX2iVIJMFQ,2019-05-20 23:34:07 UTC
lne0FPqzYdc,2019-05-20 03:01:11 UTC
xFFs9UgOAlE,2019-05-15 06:15:18 UTC
q_xm5Weu3nE,2019-05-10 01:32:19 UTC
hVv68aHYSs4,2019-04-10 04:12:09 UTC
REeROakzwfU,2019-03-31 16:05:29 UTC
nzCaZQqAs9I,2019-03-25 04:45:07 UTC
CNA2-T2ppIE,2019-03-21 03:25:42 UTC
nhMuBEvopk8,2019-03-16 02:01:20 UTC
0JUN9aDxVmI,2019-03-11 01:25:55 UTC
8TSEnoAa39s,2019-03-01 02:37:44 UTC
_Ap1y_ShAcQ,2019-02-22 05:05:05 UTC
FeGOZ9gUe5k,2019-02-15 23:46:47 UTC
CIIHBTBq_rU,2019-02-11 06:46:09 UTC
p-2EqM1O2p0,2019-02-10 17:27:10 UTC
0O8yr3WheuE,2019-02-07 03:51:20 UTC
2Nt03sHOSE4,2019-01-12 02:08:10 UTC
vzCKiXY5nlw,2019-01-10 02:29:57 UTC
adqBE3jHVI0,2019-01-10 01:29:45 UTC
_NO1ldvMDXQ,2018-12-22 07:15:37 UTC
V_KzU8M3jbs,2018-12-22 07:14:31 UTC
KVB_FgVidWk,2018-12-22 03:53:34 UTC
Os1YydXMaHg,2018-12-17 05:48:17 UTC
lVglnpZTZUs,2018-12-17 04:32:36 UTC
FU8IwII8hhc,2018-12-14 18:36:55 UTC
hsQLksbfDSo,2018-12-10 02:13:39 UTC
nsd7ExP9Sgg,2018-12-10 00:59:29 UTC
cSFSlZwneO4,2018-12-08 05:03:04 UTC
Pwy8B-p-rDg,2018-12-06 06:13:26 UTC
X1U4WzqH3YM,2018-12-06 04:39:19 UTC
hYzU-DoEV6k,2018-12-06 04:22:25 UTC
0CXqgLIPjwg,2018-12-06 03:27:15 UTC
u6Zbykf7hqk,2018-12-06 02:42:17 UTC
qkEq-YVn8Ew,2018-12-06 02:21:20 UTC

